pearson;similarity_type;matching;word_agg;sentence_agg;direction;power;index_weight;power_scope
0.5339678482793926;wupalmer;one_to_many;max;min;single;power13;prime;local
0.5337696215960053;wupalmer;one_to_many;max;max;single;power7;prime;local
0.5337696215960053;wupalmer;one_to_many;max;avg;single;power7;prime;local
0.5337696215960053;wupalmer;one_to_many;max;min;single;power7;prime;local
0.5326868710741619;spath;one_to_many;max;max;single;power7;prime;local
0.5326868710741619;spath;one_to_many;max;avg;single;power7;prime;local
0.5326868710741619;spath;one_to_many;max;min;single;power7;prime;local
0.5326061931302223;spath;one_to_many;max;max;single;power13;prime;local
0.5326061931302223;spath;one_to_many;max;avg;single;power13;prime;local
0.5326061931302223;spath;one_to_many;max;min;single;power13;prime;local
0.5326046956613837;wupalmer;one_to_many;max;max;single;power101;prime;local
0.5326046956613837;wupalmer;one_to_many;max;avg;single;power101;prime;local
0.5326046956613837;wupalmer;one_to_many;max;min;single;power101;prime;local
0.5326046935070264;spath;one_to_many;max;max;single;power101;prime;local
0.5326046935070264;spath;one_to_many;max;avg;single;power101;prime;local
0.5326046935070264;spath;one_to_many;max;min;single;power101;prime;local
0.5309583030079985;spath;one_to_many;max;max;single;power2;linear;local
0.5309583030079985;spath;one_to_many;max;avg;single;power2;linear;local
0.5309583030079985;spath;one_to_many;max;min;single;power2;linear;local
0.5292573552909082;spath;one_to_many;max;max;single;power2;prime;local
0.5292573552909082;spath;one_to_many;max;avg;single;power2;prime;local
0.5292573552909082;spath;one_to_many;max;min;single;power2;prime;local
0.5275661928323145;wupalmer;one_to_many;max;max;symmetric;power2;exponential;global
0.5275661928323145;wupalmer;one_to_many;max;avg;symmetric;power2;exponential;global
0.5275661928323145;wupalmer;one_to_many;max;min;symmetric;power2;exponential;global
0.51603309472025;spath;one_to_many;max;avg;single;power1;none;local
0.51603309472025;spath;one_to_many;max;avg;single;power1;none;global
0.5140832682165033;spath;one_to_many;max;avg;single;power2;none;global
0.5092491878869789;wupalmer;one_to_many;max;max;single;power7;exponential;local
0.5092491878869789;wupalmer;one_to_many;max;avg;single;power7;exponential;local
0.5092491878869789;wupalmer;one_to_many;max;min;single;power7;exponential;local
0.5091960174166461;wupalmer;one_to_many;max;max;single;power13;exponential;local
0.5091960174166461;wupalmer;one_to_many;max;avg;single;power13;exponential;local
0.5091960174166461;wupalmer;one_to_many;max;min;single;power13;exponential;local
0.5083991999944986;spath;one_to_many;max;max;single;power1;linear;local
0.5083991999944986;spath;one_to_many;max;avg;single;power1;linear;local
0.5083991999944986;spath;one_to_many;max;min;single;power1;linear;local
